,id,id_android,speed,time,distance,rating,rating_bus,rating_weather,car_or_bus,l_001 - A FRANCO BUGIO,l_002 - FERNANDO COLLOR DIA,l_007 - FERNANDO COLLOR ATALAIA,l_008 - SANTA TEREZA B INDUSTRIA,l_020 - PIABETA DIA,l_031 - EDUARDO GOMES DES. MAYNA,l_034 - TERM ROD L  BATISTA,l_040 - MARCOS FREIRE II DIA,l_051 - ATALAIA CENTRO,l_060 - PADRE PEDRO CAMPUS,l_061 - M. FREIRE CENTRO,l_080 - BUGIO ATALAIA,l_100 1 - CIRCULAR SHOPPINGS,l_409 - RIOMAR DIA,l_702 - AUGUSTO FRANCO BEIRA MAR,l_707 - CASTELO BRANCO CENTRO,l_715 - TIJUQUINHA  DES MAYNARD,l_721 - CASTELO BRANCO SUISSA
0,1,0,19.2105856218409,0.138048888888889,2.6519999999999997,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,30.848229110141002,0.17148472222222197,5.29,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,1,13.5601009375705,0.0676986111111111,0.9179999999999999,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,1,19.7666790267834,0.38954444444444397,7.7,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8,0,25.8074009208982,0.154800555555556,3.995,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,2,1.34691332363334,0.00668194444444444,0.009000000000000001,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,11,3,36.8507874006155,0.22800055555555604,8.402000000000001,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,12,1,17.4051312905583,0.0387816666666667,0.675,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,13,1,15.395436139699699,0.526844444444444,8.111,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,14,1,8.90272943762594,0.00303277777777778,0.027000000000000003,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16,3,15.041348024653301,0.217866111111111,3.2769999999999997,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,17,3,14.440098123715401,0.268142222222222,3.872,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,18,1,16.3567325479505,0.0770325,1.26,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,19,1,17.5427999490819,0.333869166666667,5.857,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,20,4,9.451815572371991,0.276772222222222,2.616,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,21,4,9.451815572371991,0.276772222222222,2.616,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,22,4,16.2635039490851,0.4509483333333329,7.334,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,23,4,21.2235944272772,0.28972472222222195,6.149,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,24,4,19.4236545402881,0.23656722222222198,4.595,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,25,4,20.7996291423591,0.425440277777778,8.849,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,26,4,8.72437241694035,1.94294777777778,16.951,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,27,4,8.72437241694035,1.94294777777778,16.951,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,28,3,8.68613764219664,0.502409722222222,4.364,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,30,3,54.9959473181491,1.01407472222222,55.77,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,31,3,54.9959473181491,1.01407472222222,55.77,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
