,id,latitude,longitude,track_id,time
0,1,-10.9393413858164,-37.0627421097422,1,2014-09-13 07:24:32
10,11,-10.939342913189199,-37.0600866959415,1,2014-09-13 07:25:27
20,21,-10.941532508608,-37.0573457786884,1,2014-09-13 07:26:23
30,31,-10.942783282087,-37.056367219418604,1,2014-09-13 07:27:17
40,41,-10.944164660116598,-37.0516450552908,1,2014-09-13 07:28:12
50,51,-10.9416974315862,-37.0507029806928,1,2014-09-13 07:29:08
60,61,-10.9416974315862,-37.0507029806928,1,2014-09-13 07:30:03
70,71,-10.9431659277627,-37.0478404749664,1,2014-09-13 07:30:59
80,81,-10.9463325071577,-37.045877141709106,1,2014-09-13 07:31:56
90,91,-10.939439419858902,-37.0624283811754,2,2014-09-13 13:37:54
100,101,-10.939286303702,-37.0603401348362,2,2014-09-13 13:38:50
110,111,-10.941432326775999,-37.0598464342116,2,2014-09-13 13:39:44
120,121,-10.943507652197098,-37.061921527729396,2,2014-09-13 13:40:39
130,131,-10.949794031982998,-37.0657111502789,2,2014-09-13 13:41:34
140,141,-10.9551056026228,-37.0690663435052,2,2014-09-13 13:42:29
150,151,-10.9649785320979,-37.06897429001079,2,2014-09-13 13:43:23
160,161,-10.9692736851925,-37.0664603048909,2,2014-09-13 13:44:19
170,171,-10.9704639124286,-37.0665993955823,2,2014-09-13 13:45:13
180,181,-10.973181962894499,-37.0682447143624,2,2014-09-13 13:46:08
190,191,-10.974362948020001,-37.0686312178265,2,2014-09-13 13:47:03
200,201,-10.974961548192699,-37.0678894370718,2,2014-09-13 13:47:56
210,211,-10.90744522,-37.04817327,3,2014-09-17 05:10:37
220,221,-10.90889585,-37.04971152,3,2014-09-17 05:12:23
230,231,-10.91000414,-37.05256681,4,2014-09-17 05:10:05
240,241,-10.91748816,-37.05281022,4,2014-09-17 05:11:51
250,251,-10.91850316,-37.05443409,4,2014-09-17 05:17:24
260,261,-10.91854341,-37.05965251,4,2014-09-17 05:19:14
270,271,-10.91837822,-37.06298652,4,2014-09-17 05:21:00
280,281,-10.91861229,-37.06398567,4,2014-09-17 05:23:35
290,291,-10.91861158,-37.06845233,4,2014-09-17 05:25:23
300,301,-10.91824085,-37.07327488,4,2014-09-17 05:27:07
310,311,-10.91829794,-37.07417675,4,2014-09-17 05:28:52
320,321,-10.91859487,-37.07820678,4,2014-09-17 05:30:37
330,331,-10.91990603,-37.08762652,4,2014-09-17 05:32:20
340,341,-10.92251669,-37.09491899,4,2014-09-17 05:34:05
350,351,-10.92161594,-37.10520467,4,2014-09-17 05:35:52
360,569,-10.9439140119446,-37.052780135766504,8,2014-09-26 15:27:19
370,579,-10.9441445685128,-37.051851489537505,8,2014-09-26 15:28:15
380,589,-10.9069758,-37.0617381,11,2014-09-28 17:20:09
390,599,-10.91038319,-37.06385827,11,2014-09-28 17:21:30
400,609,-10.91038532,-37.06537071,11,2014-09-28 17:22:24
410,619,-10.91041107,-37.06643778,11,2014-09-28 17:23:20
420,629,-10.91024523,-37.06806038,11,2014-09-28 17:24:16
430,639,-10.90916893,-37.0732941,11,2014-09-28 17:25:10
440,649,-10.90781961,-37.07305956,11,2014-09-28 17:26:04
450,659,-10.90786452,-37.07306529,11,2014-09-28 17:27:01
460,669,-10.90767031,-37.07315811,11,2014-09-28 17:27:54
470,679,-10.9077563,-37.0732638,11,2014-09-28 17:29:51
480,689,-10.90766922,-37.07318769,11,2014-09-28 17:32:23
490,699,-10.90809532,-37.0481028,12,2014-09-30 10:08:15
500,709,-10.90885896,-37.05223934,13,2014-09-30 10:16:20
510,719,-10.90901423,-37.05261118,13,2014-09-30 10:18:03
520,729,-10.91236017,-37.05273264,13,2014-09-30 10:19:49
530,739,-10.91496974,-37.05215649,13,2014-09-30 10:21:34
